HHid,Country,Region,Village,Latitude,Longitude,HHsizemembers,HHsizeMAE,HouseholdType,Head_EducationLevel,LandOwned,LandCultivated,LivestockHoldings,WorstFoodSecMonth,BestFoodSecMonth,NrofMonthsFoodInsecure,score_PPI,HFIAS_status,score_HDDSGoodSeason,HDDS_farmbasedGoodSeason,HDDS_purchasedGoodSeason,score_HDDSBadSeason,HDDS_farmbasedBadSeason,HDDS_purchasedBadSeason,total_income,offfarm_income,farm_income,valuefarmproduce,cropsales,valuecropproduce,valuecropconsumed,livestockprodsales,valuelivestockproduction,valuelivestockprodconsumed,FoodAvailability,FoodSelfSufficiency,TotalEnergyAvailable,FAEnergyBought,FAEnergyOffFarm,FAEnergyCropConsumption,FAEnergyCropSales,FAEnergyLivestockConsumption,FAEnergyLivestockSales,FAEnergyFarmBased,FAMarketOrientation,FALivestockOrientation,GHGEmissions,Gender_MaleControl,Gender_FemaleControl,Gender_MaleYouthControl,Gender_FemaleYouthControl,NFertInput,CropDiv,LivestockDiv
1,Kenya,Wote,ITULANI,-1.82,37.7,3,2.73,man_single,primary,6.885,2,0.5,nov,mar,5,49,ModeratelyFI,6,1,4,4,0,3,0,0,0,104,0,67.5,67.5,0,36.5,36.5,1076.483516,1076.483516,1072662,0,0,985500,0,87162,0,1072662,0,0.081257656,2422.952823,0.352424809,0,0.647575191,0,0,3,1
2,Kenya,Wote,ITULANI,-1.82,37.7,10,6.46,woman_single,primary,1.215,2,1.58,aug,mar,7,19,SeverelyFI,7,3.5,3.5,3,1,2,100,70,30,215.04,0,132.48,132.48,30,82.56,52.56,1565.49472,946.2996734,3691280,1460000,1022000,1944900,0,286380,438000,2669280,0.118658026,0.19624087,16336.73716,0,0.001478361,0,0.998521639,0,5,3
3,Kenya,Wote,ITULANI,-1.82,37.71,1,0.73,man_single,secondary,4.05,3,3.5,oct,jan,4,55,MildlyFI,7,3.5,3.5,7,1.5,5.5,1358.9375,679.46875,679.46875,840.9375,39.375,157.5,118.125,640.09375,683.4375,43.34375,77008.32192,2545.993151,20518867.38,19840487.5,9920243.75,574875,574875,103504.875,9345368.75,10598623.63,0.483469364,0.460496842,20415.98388,7.61E-05,0,0.999923858,0,0,3,2
4,Kenya,Wote,ITULANI,-1.82,37.7,4,2.61,woman_single,illiterate,4.05,3,0.1,nov,feb,4,51,SeverelyFI,6,1.333333333,3.333333333,4,0.333333333,1.833333333,61.88857143,0,61.88857143,98.55428571,0,1,1,61.88857143,97.55428571,35.66571429,1167.749286,219.2654325,1112456.357,903573.1429,0,14600,0,194283.2143,903573.1429,1112456.357,0.812232441,0.98687589,175.7860818,0,4.71E-06,0,0.999995293,0,4,2
5,Kenya,Wote,ITULANI,-1.82,37.7,6,4.75,couple,secondary,4.86,6,2.1,nov,feb,4,37,MildlyFI,9,4.5,4.5,6,1.5,4.5,8917.5,8025.75,891.75,1301.1875,141.75,391.5,249.75,750,909.6875,159.6875,77073.9863,1979.249459,133627023.8,130195500,117175950,3050190,2069550,381333.75,10950000,16451073.75,0.097432014,0.08479822,12335.99793,2.52E-06,4.18E-06,0.999985988,7.31E-06,0,4,3
6,Kenya,Wote,ITULANI,-1.82,37.7,4,3.35,couple,primary,1.0125,2,2.85,dec,feb,2,43,MildlyFI,7,4.5,2.5,3,0,3,338.7875,67.7575,271.03,489.6225,234.75,313,78.25,36.28,176.6225,140.3425,5943.589246,1898.365365,7267523.75,4946297.5,989259.5,1903075,3427350,418151.25,529688,6278264.25,0.544482294,0.130421211,32675.29807,0.021770173,0.012116815,0.026152029,0.939960983,0,6,4
7,Kenya,Wote,ITULANI,-1.82,37.7,8,5.64,couple,primary,6.885,3,3.79,dec,apr,5,28,SeverelyFI,6,4,2,4,0,4,402.8888889,40.28888889,362.6,495.466,3.76,110.346,106.586,358.84,385.12,26.28,3469.253511,611.8855047,7141805.278,5882177.778,588217.7778,1101710,54896,157917.5,5239064,6553587.5,0.741263559,0.755688694,48851.35541,0,0.488409312,0,0.511590688,0,7,4
8,Kenya,Wote,ITULANI,-1.82,37.7,5,3.19,couple,secondary,3.645,5,5.46,nov,apr,5,50,SeverelyFI,9,6,3,8,1,7,1260.955556,126.0955556,1134.86,1598.745,484.86,745.44,260.58,650,853.305,203.305,18555.09178,2743.736849,21604621.11,18409951.11,1840995.111,2188200,7078956,1006470,9490000,19763626,0.766917222,0.485843744,61345.17951,0.380513093,0.117621688,0.380513093,0.121352126,0,8,5
9,Kenya,Wote,ITULANI,-1.82,37.7,8,5.34,couple,primary,0.6075,1,2.3,nov,mar,6,24,SeverelyFI,6,3,3,5,0,5,1564,1407.6,156.4,622.34,0,334.54,334.54,156.4,287.8,131.4,13634.32097,1918.965163,26574655,22834400,20550960,3031400,0,708855,2283440,6023695,0.085925481,0.11259958,24515.00351,9.36E-07,0.00330152,0.496623407,0.500074137,0,5,3
10,Kenya,Wote,ITULANI,-1.81,37.7,6,4.48,couple,primary,0.405,0.75,1.73,nov,apr,8,31,SeverelyFI,8,6.5,1.5,5,1,4,1110.466667,777.3266667,333.14,590.4975,35,184.5,149.5,298.14,405.9975,107.8575,11394.64566,1479.764708,18632524.58,16212813.33,11348969.33,2044400,511000,375311.25,4352844,7283555.25,0.261040525,0.253758165,16350.48092,0,0.496165272,0,0.503834728,0,7,4
